Entity,Year,Gas,Coal,Oil
Africa,1965,9.57193,323.49615,341.07257
Africa,1966,10.6980915,323.12222,369.46457
Africa,1967,10.573844,330.2916,368.28156
Africa,1968,10.717145,343.51288,389.57162
Africa,1969,12.520175,346.64288,397.3726
Africa,1970,15.5485,360.75693,434.28757
Africa,1971,18.405264,383.0123,472.22516
Africa,1972,24.670658,384.21082,509.09583
Africa,1973,39.551792,408.91034,549.6427
Africa,1974,44.518486,425.6462,570.538
Africa,1975,53.63838,451.0805,598.6075
Africa,1976,60.98139,481.07416,651.3652
Africa,1977,68.23419,491.69846,692.9117
Africa,1978,97.369896,477.8156,730.7279
Africa,1979,148.84282,507.24698,770.22455
Africa,1980,186.91397,543.55707,818.9584
Africa,1981,228.49115,635.79877,887.7277
Africa,1982,246.73354,701.17584,930.6774
Africa,1983,271.27536,713.2461,964.2179
Africa,1984,259.9028,762.8979,978.6124
Africa,1985,278.84274,787.1659,1003.6883
Africa,1986,313.27118,805.356,979.9832
Africa,1987,323.38437,828.3197,1037.7959
Africa,1988,358.44455,890.1608,1081.3895
Africa,1989,371.47104,835.6209,1117.3824
Africa,1990,398.6454,877.6783,1138.2854
Africa,1991,401.6356,853.76215,1142.5394
Africa,1992,421.27026,858.8311,1162.5455
Africa,1993,412.64398,871.7139,1175.4089
Africa,1994,431.82797,894.4478,1213.8041
Africa,1995,461.2435,922.4713,1253.9824
Africa,1996,484.19174,935.2283,1282.5608
Africa,1997,474.47556,959.0191,1322.649
Africa,1998,499.337,937.039,1351.2659
Africa,1999,504.01962,966.0107,1400.9159
Africa,2000,556.8223,963.7305,1408.781
Africa,2001,634.63617,975.9263,1431.3003
Africa,2002,670.63605,934.42163,1465.1776
Africa,2003,711.5361,1017.0484,1499.0969
Africa,2004,830.44904,1119.162,1569.3588
Africa,2005,808.0279,1039.073,1643.527
Africa,2006,843.7478,1054.0972,1669.9397
Africa,2007,900.4146,1071.6333,1727.311
Africa,2008,956.9722,1180.7251,1799.118
Africa,2009,941.2384,1176.0021,1870.0795
Africa,2010,981.41986,1167.1664,1958.0597
Africa,2011,1061.5934,1149.0251,1958.3862
Africa,2012,1147.4296,1120.1858,2105.0354
Africa,2013,1170.0558,1132.1521,2203.0942
Africa,2014,1202.3505,1185.7092,2253.4895
Africa,2015,1307.7611,1123.2714,2320.0535
Africa,2016,1350.4667,1191.6321,2315.4639
Africa,2017,1455.7446,1192.7725,2349.5767
Africa,2018,1553.0098,1170.1365,2337.529
Africa,2019,1576.5094,1239.35,2364.799
Africa,2020,1541.8435,1199.677,2145.362
Africa,2021,1765.4915,1204.3943,2333.0635
Africa,2022,1753.9181,1150.9288,2468.4685
Africa,2023,1790.8177,1179.417,2474.7007
Africa,2024,1780.349,1194.9971,2543.7734
Africa (EI),1965,9.57193,323.49615,341.07257
Africa (EI),1966,10.6980915,323.12222,369.46457
Africa (EI),1967,10.573844,330.2916,368.28156
Africa (EI),1968,10.717145,343.51288,389.57162
Africa (EI),1969,12.520175,346.64288,397.3726
Africa (EI),1970,15.5485,360.75693,434.28757
Africa (EI),1971,18.405264,383.0123,472.22516
Africa (EI),1972,24.670658,384.21082,509.09583
Africa (EI),1973,39.551792,408.91034,549.6427
Africa (EI),1974,44.518486,425.6462,570.538
Africa (EI),1975,53.63838,451.0805,598.6075
Africa (EI),1976,60.98139,481.07416,651.3652
Africa (EI),1977,68.23419,491.69846,692.9117
Africa (EI),1978,97.369896,477.8156,730.7279
Africa (EI),1979,148.84282,507.24698,770.22455
Africa (EI),1980,186.91397,543.55707,818.9584
Africa (EI),1981,228.49115,635.79877,887.7277
Africa (EI),1982,246.73354,701.17584,930.6774
Africa (EI),1983,271.27536,713.2461,964.2179
Africa (EI),1984,259.9028,762.8979,978.6124
Africa (EI),1985,278.84274,787.1659,1003.6883
Africa (EI),1986,313.27118,805.356,979.9832
Africa (EI),1987,323.38437,828.3197,1037.7959
Africa (EI),1988,358.44455,890.1608,1081.3895
Africa (EI),1989,371.47104,835.6209,1117.3824
Africa (EI),1990,398.6454,877.6783,1138.2854
Africa (EI),1991,401.6356,853.76215,1142.5394
Africa (EI),1992,421.27026,858.8311,1162.5455
Africa (EI),1993,412.64398,871.7139,1175.4089
Africa (EI),1994,431.82797,894.4478,1213.8041
Africa (EI),1995,461.2435,922.4713,1253.9824
Africa (EI),1996,484.19174,935.2283,1282.5608
Africa (EI),1997,474.47556,959.0191,1322.649
Africa (EI),1998,499.337,937.039,1351.2659
Africa (EI),1999,504.01962,966.0107,1400.9159
Africa (EI),2000,556.8223,963.7305,1408.781
Africa (EI),2001,634.63617,975.9263,1431.3003
Africa (EI),2002,670.63605,934.42163,1465.1776
Africa (EI),2003,711.5361,1017.0484,1499.0969
Africa (EI),2004,830.44904,1119.162,1569.3588
Africa (EI),2005,808.0279,1039.073,1643.527
Africa (EI),2006,843.7478,1054.0972,1669.9397
Africa (EI),2007,900.4146,1071.6333,1727.311
Africa (EI),2008,956.9722,1180.7251,1799.118
Africa (EI),2009,941.2384,1176.0021,1870.0795
Africa (EI),2010,981.41986,1167.1664,1958.0597
Africa (EI),2011,1061.5934,1149.0251,1958.3862
Africa (EI),2012,1147.4296,1120.1858,2105.0354
Africa (EI),2013,1170.0558,1132.1521,2203.0942
Africa (EI),2014,1202.3505,1185.7092,2253.4895
Africa (EI),2015,1307.7611,1123.2714,2320.0535
Africa (EI),2016,1350.4667,1191.6321,2315.4639
Africa (EI),2017,1455.7446,1192.7725,2349.5767
Africa (EI),2018,1553.0098,1170.1365,2337.529
Africa (EI),2019,1576.5094,1239.35,2364.799
Africa (EI),2020,1541.8435,1199.677,2145.362
Africa (EI),2021,1765.4915,1204.3943,2333.0635
Africa (EI),2022,1753.9181,1150.9288,2468.4685
Africa (EI),2023,1790.8177,1179.417,2474.7007
Africa (EI),2024,1780.349,1194.9971,2543.7734
Algeria,1965,7.4305,0.81409997,15.4052515
Algeria,1966,7.71925,0.79084,20.272705
Algeria,1967,7.48825,0.60476,18.942032
Algeria,1968,7.87325,0.63965,20.167301
Algeria,1969,10.351687,0.81409997,21.305931
Algeria,1970,9.730875,0.96528995,24.34768
Algeria,1971,11.0494995,0.26749,27.44005
Algeria,1972,12.830126,0.23259999,30.121414
Algeria,1973,17.859186,0.26749,32.900345
Algeria,1974,20.6745,0.22096999,36.54384
Algeria,1975,28.49,0.27912,40.63067
Algeria,1976,33.6875,0.54661,46.71773
Algeria,1977,35.901253,0.70943,52.806496
Algeria,1978,57.65375,0.36053002,54.607944
Algeria,1979,81.52375,0.83736,65.31862
Algeria,1980,109.43625,0.74432,66.20243
Algeria,1981,142.25749,0.52335,71.323074
Algeria,1982,161.41125,9.711049,75.57342
Algeria,1983,176.71501,8.66435,84.89242
Algeria,1984,155.25125,9.60638,94.00201
Algeria,1985,153.8075,10.025061,96.5538
Algeria,1986,168.4375,10.29255,98.021255
Algeria,1987,172.2875,12.30454,99.10052
Algeria,1988,194.13625,11.57185,99.1726
Algeria,1989,182.68251,9.78083,103.93666
Algeria,1990,195.09875,7.6641703,111.811615
Algeria,1991,192.69249,7.9084,110.627785
Algeria,1992,198.94875,9.397039,111.292656
Algeria,1993,178.54375,7.6525397,110.754875
Algeria,1994,188.16875,7.2106,106.050896
Algeria,1995,202.22125,7.2106,103.14229
Algeria,1996,207.7075,3.3959599,98.42208
Algeria,1997,194.04001,5.95456,97.64342
Algeria,1998,200.68126,6.37324,100.65875
Algeria,1999,205.10875,6.8268104,98.898346
Algeria,2000,191.01294,5.64055,103.13248
Algeria,2001,197.32211,6.5127997,106.77533
Algeria,2002,194.83888,8.54805,118.397224
Algeria,2003,205.93169,7.04778,123.17412
Algeria,2004,211.89919,8.40849,128.74683
Algeria,2005,223.55988,6.9082203,134.21338
Algeria,2006,228.4975,10.25766,139.84572
Algeria,2007,233.80682,8.80391,156.39
Algeria,2008,244.04189,8.80391,169.91591
Algeria,2009,262.1176,5.65218,180.13443
Algeria,2010,253.27226,3.6053,181.61191
Algeria,2011,267.9696,3.19825,192.22765
Algeria,2012,298.74075,3.3959599,204.39526
Algeria,2013,321.21512,1.83754,213.57639
Algeria,2014,360.91824,2.08177,221.92514
Algeria,2015,379.225,1.5467899,236.14848
Algeria,2016,385.9625,0.56987,229.56384
Algeria,2017,394.625,2.11666,225.51212
Algeria,2018,434.08752,5.815,227.7859
Algeria,2019,450.54623,4.80319,236.9513
Algeria,2020,433.50037,1.52353,211.92545
Algeria,2021,481.52914,3.10521,221.2037
Algeria,2022,503.38748,2.17481,226.91005
Algeria,2023,542.33026,2.10503,238.2033
Algeria,2024,505.4759,1.7369871,250.97054
Argentina,1965,41.234,8.4550495,275.2159
Argentina,1966,44.6572,6.971818,283.8763
Argentina,1967,46.699448,7.840397,290.73495
Argentina,1968,51.999577,7.6190352,296.7972
Argentina,1969,51.805077,9.12217,308.01144
Argentina,1970,58.544502,11.722599,278.4355
Argentina,1971,63.202774,10.277542,296.50113
